"Country"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"," 1999"," 1998"," 1997"," 1996"," 1995"," 1994"," 1993"," 1992"," 1991"," 1990"," 1989"," 1988"," 1987"," 1986"," 1985"," 1984"," 1983"," 1982"," 1981"," 1980"
"India","89","89","86","86","84","82","79","79","76","73","69","67","66","65","58","57","58","58","57","57","60","63","67","71","67","61","56","58","66","55","37","27","16","14","12","10","8","2","2"
"Indonesia","80","80","80","80","80","86","84","81","82","85","83","77","78","79","79","80","80","77","72","86","87","79","83","71","69","67","65","62","60","56","53","49","46","13","6","4","1","1",""
"Iran (Islamic Republic of)","99","99","99","98","99","98","99","99","99","99","99","98","99","95","98","99","99","95","99","99","99","99","99","97","95","99","97","88","90","82","88","58","58","63","34","34","74","47","38"
"Iraq","71","86","77","72","74","76","73","82","74","78","71","74","63","69","69","73","76","80","83","87","79","80","77","73","72","70","74","79","83","87","91","95","91","86","63","16","16","16","16"
"Ireland","94","95","95","95","96","96","95","95","94","94","93","92","91","90","89","86","83","84","86","86","84","76","77","77","78","79","80","80","81","81","72","78","84","90","74","76","79","76","72"
"Israel","98","98","94","95","95","96","94","94","95","96","94","95","94","95","95","93","91","93","93","92","92","95","95","96","97","97","96","94","93","93","94","93","93","86","87","88","93","93","85"
"Italy","95","95","93","93","95","96","96","96","96","96","96","97","97","97","97","97","96","96","97","97","96","98","97","98","98","97","97","98","98","75","85","81","95","92","90","90","","",""
"Jamaica","98","93","99","91","93","86","96","93","94","90","91","94","99","99","97","99","99","99","95","90","88","90","92","91","93","80","74","86","87","84","83","82","74","58","57","47","72","37","34"
"Japan","97","97","99","99","99","99","99","96","98","99","98","97","95","95","97","97","89","81","98","98","97","97","99","97","94","91","94","94","90","93","94","95","95","95","95","95","95","",""
"Jordan","92","99","98","99","98","98","98","98","98","98","98","98","98","95","95","97","95","97","94","85","99","99","96","95","94","91","92","92","92","94","92","89","88","84","81","77","75","81","32"
"Kazakhstan","98","99","82","98","95","98","98","99","98","99","99","94","99","99","99","99","95","95","96","99","99","99","98","94","69","69","87","","","","","","","","","","","",""
"Kenya","81","81","88","83","93","94","94","97","90","89","88","76","77","70","73","75","83","77","80","81","81","81","87","94","92","89","87","86","84","83","82","77","72","70","57","","","",""
"Kiribati","93","90","82","80","79","91","92","95","95","84","74","93","86","74","61","79","96","88","90","76","83","93","82","58","81","99","90","76","97","86","62","5","10","15","23","25","40","20","10"
